dataset,variant,fault,mae_mean,mae_sample_sd,difference_vs_full,relative_difference_vs_full_percent,paired_difference,paired_difference_sample_sd,paired_ci_low,paired_ci_high,paired_t_pvalue,wilcoxon_pvalue,seed_wins,seed_losses,cohens_dz
pems_bay,spatial_only_forecast_only,SV-high,2.070663046836853,0.005987890523496925,0.2002704977989198,10.707404598138085,0.20027049779891976,0.0073723298102657585,0.19499665075605274,0.20554434484178677,1.9888192802571937e-14,0.001953125,0,10,27.165157142054174
pems_bay,fixed_fusion_forecast_only,RM20,1.9309052348136901,0.009722706185636252,0.07547152042388916,4.067594538062471,0.07547152042388924,0.010992973814902175,0.06760762068824429,0.0833354201595342,4.397954646073121e-09,0.001953125,0,10,6.865432565806658
pems_bay,fixed_fusion_forecast_only,RM40,2.0057103753089907,0.010278363085527929,0.07606786489486717,3.9420703308688054,0.07606786489486687,0.011973051338754537,0.06750285993414751,0.08463286985558624,8.72404810333561e-09,0.001953125,0,10,6.353256387421422
pems_bay,fixed_fusion_forecast_only,CO24,2.017131519317627,0.008638742617583513,0.06787968873977679,3.482345773642498,0.06787968873977665,0.011001416971920084,0.06000974913345074,0.07574962834610256,1.1290948256153027e-08,0.001953125,0,10,6.170085991016625
pems_bay,fixed_fusion_forecast_only,GN-high,2.090052366256714,0.014013400490851069,0.005884242057800471,0.28233048905602004,0.0058842420578002486,0.015819280003079538,-0.005432189139886336,0.017200673255486833,0.2696647434188542,0.232421875,2,8,0.3719664900459922
pems_bay,fixed_fusion_forecast_only,LD-high,2.057555913925171,0.017456241006378864,0.04544982910156259,2.258818729507841,0.04544982910156241,0.02160356381189568,0.0299955705351449,0.06090408766797992,9.34346490362654e-05,0.001953125,0,10,2.1038116441018007
pems_bay,fixed_fusion_forecast_only,SV-high,1.93697190284729,0.008020344213550789,0.06657935380935665,3.5596460135388592,0.06657935380935671,0.00936957657821662,0.059876762498108464,0.07328194512060496,3.2426667454799846e-09,0.001953125,0,10,7.105908495816921
pems_bay,gated_fusion_forecast_only,RM20,1.857415235042572,0.007024272651971293,0.0019815206527711293,0.10679555067925424,0.001981520652770974,0.007260024559468294,-0.003211988053361302,0.00717502935890325,0.41049292995647324,0.10546875,2,8,0.2729358057317778
pems_bay,gated_fusion_forecast_only,RM40,1.9332629084587096,0.007724434435383977,0.0036203980445861372,0.18762014337096866,0.0036203980445861372,0.007849602824834448,-0.0019948695452860227,0.009235665634458297,0.17869796389732504,0.064453125,1,9,0.46122053884458714
pems_bay,gated_fusion_forecast_only,CO24,1.9531013369560242,0.008321278494559459,0.003849506378173828,0.19748635439437562,0.003849506378173828,0.007554836847456135,-0.0015548983341355628,0.009253911090483218,0.14157102928188636,0.064453125,1,9,0.5095419604554444
pems_bay,gated_fusion_forecast_only,GN-high,2.084792137145996,0.010489074412138661,0.0006240129470826972,0.02994062426333996,0.0006240129470824751,0.00946195810807022,-0.006144664129530682,0.007392690023695633,0.83944210277119,0.556640625,3,7,0.06594966284518283
pems_bay,gated_fusion_forecast_only,LD-high,2.0103448271751403,0.011448630962326704,-0.0017612576484680176,-0.08753304121250736,-0.001761257648468062,0.019886524979165623,-0.01598722062807232,0.012464705331136194,0.7857557857299469,0.556640625,3,7,-0.08856538034238091
pems_bay,gated_fusion_forecast_only,SV-high,1.872143518924713,0.007392096226795928,0.0017509698867796963,0.09361510168976753,0.0017509698867798518,0.006502526649517715,-0.002900657458210933,0.006402597231770636,0.4165599727487277,0.083984375,1,9,0.26927531114535597
